FFTBin#,Frequency (Hz),Ch0 Mean (db),Ch0 Std Dev(db),Ch1 Mean (db),Ch1 Std Dev(db)
444,1195.0928,-8.5981,5.2773,-8.8973,5.8862
445,1197.7844,-9.6954,5.0292,-10.2680,5.7469
446,1200.4761,-11.8380,6.5033,-12.3282,7.7843
447,1203.1677,-11.1768,5.6137,-11.3604,7.1012
448,1205.8594,-10.6879,4.8606,-10.3000,5.6384
449,1208.5510,-11.2598,5.1529,-10.3395,4.9027
450,1211.2427,-11.8192,4.6342,-11.2904,4.4520
451,1213.9343,-10.5216,4.4837,-10.3922,4.5459
452,1216.6260,-10.4880,4.5325,-10.6767,4.9014
453,1219.3176,-9.2096,5.0207,-9.1217,4.8254
454,1222.0093,-11.4456,3.8442,-10.6291,4.4308
455,1224.7009,-10.6210,3.7780,-9.8773,3.9204
456,1227.3926,-8.4070,5.9027,-8.3447,5.9413
457,1230.0842,-8.6604,5.6365,-8.2634,4.2979
458,1232.7759,-9.4830,6.8019,-9.4405,6.8682
459,1235.4675,-8.4704,5.5333,-8.6046,5.3066
460,1238.1592,-7.6628,4.8711,-8.0206,5.0324
461,1240.8508,-9.2007,4.8905,-9.0779,4.1222
462,1243.5425,-7.5833,4.8685,-7.8873,4.9422
463,1246.2341,-5.8416,4.8188,-5.6345,4.6301
464,1248.9258,-8.6051,4.1781,-8.7509,3.8380
465,1251.6174,-7.6688,4.2465,-7.3531,3.4941
466,1254.3091,-7.2112,4.8369,-6.9743,5.2701
467,1257.0007,-7.9464,4.7476,-7.7758,4.9112
468,1259.6924,-6.6010,3.2989,-6.3580,3.6196
469,1262.3840,-7.5460,5.6059,-7.6471,5.6448
470,1265.0757,-6.5343,4.4111,-6.3958,4.6188
471,1267.7673,-5.0753,4.8231,-4.8716,6.0411
472,1270.4590,-6.0125,6.4887,-6.1096,6.6211
473,1273.1506,-6.1190,5.3709,-5.7248,5.1612
474,1275.8423,-6.6352,3.5630,-6.3895,3.5535
475,1278.5339,-9.4663,4.3408,-8.6939,3.9082
476,1281.2256,-9.9127,3.5629,-9.6822,3.4418
477,1283.9172,-8.5777,5.2264,-8.2712,5.6255
